"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2017 Dollars, 2004-05 to 2017-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,
In 2017 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year % Change,5-Year % Change,,
Pennsylvania,"$3,707","$3,823","$3,740","$3,800","$3,722","$3,919","$3,896","$4,255","$4,487","$4,663","$4,827","$5,054","$5,316","$5,327",0%,19%,,"$10,661","$10,827","$10,887","$11,507","$11,521","$12,235","$12,723","$13,094","$13,224","$13,415","$13,495","$13,737","$14,184","$14,437",2%,9%,,
Puerto Rico,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"$1,517","$1,768","$1,709","$2,099","$2,079","$2,151","$2,862","$2,831","$2,929","$2,004","$2,145","$2,165","$2,213","$2,167",-2%,-26%,,
Rhode Island,"$2,986","$3,094","$3,231","$3,345","$3,439","$3,837","$4,101","$3,983","$4,220","$4,139","$4,058","$4,376","$4,339","$4,564",5%,8%,,"$7,668","$8,066","$8,164","$8,486","$8,599","$9,665","$10,464","$10,850","$11,669","$11,418","$11,259","$11,689","$11,620","$12,226",5%,5%,,
South Carolina,"$3,655","$3,684","$3,759","$3,802","$3,724","$3,957","$4,094","$4,027","$4,539","$4,706","$4,770","$4,894","$5,070","$5,208",3%,15%,,"$8,544","$9,252","$9,518","$9,837","$10,163","$10,821","$11,299","$11,221","$11,479","$11,700","$11,765","$12,120","$12,417","$12,615",2%,10%,,
South Dakota,"$3,923","$4,004","$4,149","$4,226","$4,383","$4,904","$5,148","$5,356","$5,842","$5,806","$5,861","$6,296","$6,400","$6,560",2%,12%,,"$5,619","$5,754","$5,977","$6,279","$6,341","$6,855","$7,094","$7,360","$7,894","$8,010","$7,911","$8,262","$8,301","$8,446",2%,7%,,
Tennessee,"$2,839","$2,994","$2,995","$3,093","$3,090","$3,377","$3,589","$3,849","$3,909","$3,943","$4,055","$4,265","$4,335","$4,292",-1%,10%,,"$5,565","$5,967","$5,982","$6,305","$6,328","$6,931","$7,323","$7,769","$8,201","$8,421","$9,170","$9,501","$9,701","$9,789",1%,19%,,
Texas,"$1,786","$1,840","$1,937","$1,938","$1,850","$1,985","$2,086","$2,210","$2,293","$2,310","$2,353","$2,383","$2,479","$2,547",3%,11%,,"$6,559","$6,746","$7,199","$7,580","$7,700","$8,330","$8,695","$8,725","$8,915","$8,929","$9,079","$9,458","$9,700","$9,836",1%,10%,,
Utah,"$2,607","$2,700","$2,795","$2,872","$2,843","$3,080","$3,219","$3,269","$3,365","$3,471","$3,562","$3,657","$3,724","$3,753",1%,12%,,"$4,231","$4,489","$4,590","$4,770","$4,757","$5,198","$5,520","$5,743","$5,996","$6,197","$6,330","$6,526","$6,673","$6,788",2%,13%,,
Virginia,"$2,690","$2,745","$2,853","$3,010","$3,183","$3,509","$4,025","$4,316","$4,479","$4,537","$4,685","$4,925","$5,058","$5,127",1%,14%,,"$7,210","$7,545","$7,886","$8,236","$8,436","$9,021","$9,891","$10,331","$10,579","$10,863","$11,490","$12,122","$12,565","$12,820",2%,21%,,
Vermont,"$6,100","$6,251","$6,291","$6,463","$6,488","$6,900","$7,018","$7,064","$7,255","$7,430","$7,521","$7,723","$7,873","$7,980",1%,10%,,"$11,351","$11,585","$11,768","$12,322","$12,621","$13,658","$14,006","$14,188","$14,451","$14,633","$14,874","$15,378","$15,830","$16,043",1%,11%,,
Washington,"$3,208","$3,298","$3,293","$3,383","$3,296","$3,584","$3,773","$4,132","$4,533","$4,512","$4,413","$4,279","$4,276","$4,376",2%,-3%,,"$6,351","$6,579","$6,820","$7,035","$7,159","$8,322","$9,204","$10,287","$11,320","$11,329","$10,978","$10,551","$9,430","$9,480",1%,-16%,,
Wisconsin,"$3,756","$3,924","$3,783","$3,843","$3,808","$3,986","$4,068","$4,149","$4,306","$4,379","$4,430","$4,581","$4,409","$4,394",0%,2%,,"$6,744","$7,048","$7,268","$7,536","$7,563","$8,149","$8,658","$8,881","$9,285","$9,160","$9,011","$9,035","$9,087","$8,962",-1%,-3%,,
West Virginia,"$2,690","$2,633","$2,655","$2,756","$2,759","$2,992","$2,834","$2,933","$3,123","$3,435","$3,834","$3,928","$4,072","$4,299",6%,38%,,"$4,693","$4,849","$5,011","$5,178","$5,238","$5,661","$5,868","$5,998","$6,288","$6,552","$6,870","$7,327","$7,620","$7,887",3%,25%,,
